Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
Edge_44,Default tag table,Bool,%M15.2,Temp 44,True,True,True,,
Edge_45,Default tag table,Bool,%M15.3,Temp 45,True,True,True,,
Jog_Lift_3_FW,Default tag table,Bool,%M15.4,Trgger Jog Lift 3 FW,True,True,True,,
Edge_46,Default tag table,Bool,%M15.5,Temp 46,True,True,True,,
Edge_47,Default tag table,Bool,%M15.6,Temp 47,True,True,True,,
Jog_Lift_3_BW,Default tag table,Bool,%M15.7,Trigger Jog Lift 3 BW,True,True,True,,
Edge_48,Default tag table,Bool,%M16.0,Temp 48,True,True,True,,
Edge_49,Default tag table,Bool,%M16.1,Temp 49,True,True,True,,
Run_Lift_3_FW,Default tag table,Bool,%M16.2,Trigger Run Lift 3 FW,True,True,True,,
Edge_50,Default tag table,Bool,%M16.3,Temp 50,True,True,True,,
Edge_51,Default tag table,Bool,%M16.4,Temp 51,True,True,True,,
Run_Lift_3_BW,Default tag table,Bool,%M16.5,Trigger Run Lift 3 BW,True,True,True,,
Edge_52,Default tag table,Bool,%M16.6,Temp 52,True,True,True,,
Edge_53,Default tag table,Bool,%M16.7,Temp 53,True,True,True,,
SET_FREQ_MOTOR_TRANFER,Default tag table,Bool,%M17.0,Tín hiệu set freq cho Motor tranfer,True,True,True,,
SET_ACC_DEC_MOTOR_TRANFER,Default tag table,Bool,%M17.1,,True,True,True,,
Edge_54,Default tag table,Bool,%M17.2,Temp 54,True,True,True,,
Edge_55,Default tag table,Bool,%M17.3,Temp 55,True,True,True,,
SET_FREQ_MOTOR_LIFT,Default tag table,Bool,%M17.4,Tín hiệu cài đặt tần số cho đọng cơ nhúng,True,True,True,,
Edge_56,Default tag table,Bool,%M17.5,Temp 56,True,True,True,,
SET_ACC_DEC_MOTOR_LIFT,Default tag table,Bool,%M17.6,Tín hiệu cài đặt thời gian tăng tốc giảm tốc của động cơ nhúng,True,True,True,,
Edge_57,Default tag table,Bool,%M17.7,Temp 57,True,True,True,,
Begin_Reset,Default tag table,Bool,%M18.0,Reset Trgger,True,True,True,,
Stop_Pump_temp_1,Default tag table,Bool,%M18.1,,True,True,True,,
RESET_PUMP_1,Default tag table,Bool,%M18.2,,True,True,True,,
START_PUMP_1,Default tag table,Bool,%M18.3,,True,True,True,,
STOP_PUMP_1,Default tag table,Bool,%M18.4,,True,True,True,,
Stop_Pump_temp_2,Default tag table,Bool,%M18.5,,True,True,True,,
RESET_PUMP_2,Default tag table,Bool,%M18.6,,True,True,True,,
START_PUMP_2,Default tag table,Bool,%M18.7,,True,True,True,,
